ASJP_NAME,AUTHOR,YEAR,TITLE_ETC,LIST_MADE_BY
LAMAHOLOT_ILE_MANDIRI,,,http://language.psy.auckland.ac.nz/austronesian/about.php (accessed February 2008),AM/MD
LAMALAMA_COASTAL,"Laycock, Donald C.",1969,"Three Lamalamic languages of North Queensland. In Harris, Joy Kinslow, Stephen A. Wurm and Donald C. Laycock (eds.), Papers in Australian Linguistics 4. 71-97. Canberra: Pacific Linguistics.",VV
LAMALAMA_INLAND,"Laycock, Donald C.",1969,"Three Lamalamic languages of North Queensland. In Harris, Joy Kinslow, Stephen A. Wurm and Donald C. Laycock (eds.), Papers in Australian Linguistics 4. 71-97. Canberra: Pacific Linguistics.",VV
LAMALERA,,,http://language.psy.auckland.ac.nz/austronesian/about.php (accessed February 2008),AM/MD
LAMANG_HITKALANCHI,"Lukas, Johannes",1964/65,"Das Hitkalanci, eine Sprache um Gwoza (Nordnigerien). Afrika und Übersee 48.81-114.",JB
LAMANI,"Trail, Ronald L.",1970,The grammar of Lamani. Dallas: Summer Institute of Linguistics.,AKW
LAMASONG,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LAMBA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
LAMBA_2,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LAMBA_MBOLE_BALANGA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=de&cl=de (accessed March 2008),AKW
LAMBOYA,,,http://language.psy.auckland.ac.nz/austronesian/about.php (accessed February 2008),AM/MD
LAMBYA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LAMBYA_2,"Nurse, Derek and Gérard Philippson",1975/99,The Tanzanian Language Survey. http://www.cbold.ish-lyon.cnrs.fr/.,SW/GS
LAME,"Blench, Roger M.",2006,Jarawan Bantu: New data and its relation to Bantu. Manuscript in preparation.,TVV
LAMENU,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LAMETIN,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LAMMA,,,http://www.faculty.uaf.edu/ffgmh1/pantar/lexicon/index-english/main.htm (accessed March 2009),AM
LAMMA_BIANGWALA,"Stokhof, W. A. L.",1975,"Preliminary notes on the Alor and Pantar languages (East Indonesia). Pacific Linguistics B-43. Canberra: Research School of Pacific, Studies Department of Linguistics, Australian National University.",ZM
LAMMA_KALONDAMA,"Stokhof, W. A. L.",1975,"Preliminary notes on the Alor and Pantar languages (East Indonesia). Pacific Linguistics B-43. Research School of Pacific, Studies Department of Linguistics, Australian National University.",ZM
LAMMA_MAUTA_TUBAL,"Stokhof, W. A. L.",1975,"Preliminary notes on the Alor and Pantar languages (East Indonesia). Pacific Linguistics B-43. Department of Linguistics. Canberra: Research School of Pacific, Studies Department of Linguistics, Australian National University.",ZM
LAMNSOQ,"Grebe, Karl and Winnifred Grebe",1980,"Lamnsoq. In Kropp Dakubu, M. E. (ed.), West African language data sheets, vol. 2.  Leiden: West African Linguistic Society and African Studies Centre.",VV
LAMNSOQ_2,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
LAMOGAI,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LAMPANG_THAI,"Müller, André",n.d.,"[Data supplied by André Müller, elicited from Treeagsorn Yongyachurawet.]",AM
LAMPANGLAMET,"Charoenma, Narumol.",1980,"The sound systems of Lampanglamet and Wiangpapao Lu. M.A. thesis, Mahidol University, Bangkok.",AKW
LAMPUNG,,,http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007),AM
LAMPUNG_NYO_ABUNG_KOTABUMI,,,http://language.psy.auckland.ac.nz/austronesian/ (accessed 9-16-2009),SW
LAMPUNG_NYO_MELINTING,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=611 (accessed 9-16-2009),SW
LANDOMA,The Rosetta Project,n.d.,[Data supplied by Timothy Usher.],SW
LANDUMA,"Houis, Maurice",1953,Le système pronominal et les classes dans les dialectes baga. BIFAN = Bulletin de l?IFAN.,SW/GS
LANDUMA_2,"Rogers, Kirk and Daniel Bryant",2012,Diksiy?n?r k?l?ndma – k?tabu - Dictionnaire landouma - français. Boké: Mission Evangélique de Boké.,SW/GS
LANDUMA_3,"Koelle, Sigismund Wilhelm",1963 [1854],"Polyglotta africana, or a comparative vocabulary of nearly three hundred words and phrases in more than one hundred distinct African languages. London: Church Missionary House.",SW/GS
LANDUMA_4,"Wilson, William André Auquier",2007,Guinea Languages of the Atlantic Group. Frankfurt: Peter Lang.,SW/GS
LANGA,"Bender, M. Lionel",1971,The languages of Ethiopia: A new lexicostatistic classification and some problems of diffusion. Anthropological Linguistics 13. 165-288.,AM
LANGA_MBOLE_BAMBULI,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LANGALANGA,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=549 (accessed 09-20-09),SW
LANGAM,"Laycock, Donald C.",n.d.,"Notebook D25: Selected Research Papers of Don Laycock on Languages in Papua New Guinea: Kis, Langam, Miyak (Kyenele), Pinai. Don Laycock (compiler). n.d. Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC). paradisec.org.au/repository/DL2/items/036.",MSD
LANGANYAN,"Remijsen, Albert C. L.",2001,Word-prosodic systems of Raja Ampat languages. The Netherlands: Landelijke Onderzoekschool Taalwetenschap (Netherlands Graduate School of Linguistics).,VV
LANGAR_KHORASANI,"Doerfer, Gerhard and Wolfram Hesche",1993,"Chorasantürkisch: Wörterlisten, Kurzgrammatiken, Indices. Wiesbaden: Harrassowitz Verlag.",AM
LANGARA_LAUT_BAJAU,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=630 (accessed October 2009),SS
LANGBA,"Boyd, Raymond and Pascal Boyeldieu",1997,Lexique langba. RefLex.,SW/GS
LANGBASI,"Boyeldieu, Pascal and France Cloarec-Heiss",1986,"Dialectometrie lexicale dans le domaine oubangien. In Guarisma, Gladys and Wilhelm J. G. Möhlig (eds.), La méthode dialectometrique appliquée aux languages africaines, 331-393. Berlin: Dietrich Reimer Verlag.",SW/VV
LANGBASI_2,"Cloarec-Heiss, France",1997,Lexique langbasi. RefLex.,SW/GS
LANGBASI_3,"Moñino, Yves (ed.)",1988,Lexique comparatif des langues oubanguiennes. Paris: Librairie Orientaliste Paul Geuthner pour la Laboratoire de Langues et Civilisations à Tradition Orale (LACITO)/Département Languages et Parole en Afrique Central (LAPAC).,SW/GS
LANGJIA_BUYANG,"Peiros, Ilya",2015,"Langja Buyang dictionary. In: Key, Mary Ritchie and Comrie, Bernard (eds.), The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://ids.clld.org/contributions/422.)",AM
LANGO,"Blount, B. and R. T. Curley",1970,The Southern Lou languages: A glottochronological reconstruction. Journal of African Languages 9(1). 1-18.,VV
LANGUE_DE_ISLES_MARQUISES,"Dordillon, I. R.",1904,"Grammaire et dictionnaire de la langue des isles Marquises. Paris: Imprimerie Belin Frères. Reprinted in Tahiti, 1999: Societé des Etudes Océaniennes.",AKW
LANGUEDOCIEN,"Macip i Bonet, Ferriol",n.d.,[Data supplied by Ferriol Macip i Bonet],HG
LANI,"Donohue, Mark",n.d.,[Data supplied by Mark Donohue (fieldnotes).],MD/VV
LANOH,"Benjamin, Geoffrey",1976,"Austroasiatic subgroupings and prehistory in the Malay peninsula. In: Philip N. Jenner, Laurence C. Thompson, and Stanley Starosta (eds.), Austroasiatic studies. Honolulu: University Press of Hawaii. 37-128.",JB
LANPING_BAI,"Allen, Bryan and Zhang Xia",2004,?????? / Bai Dialect Survey. ???????.,JML
LAO,"Shafer, Robert",1974,Introduction to Sino-Tibetan. Wiesbaden: Otto Harrassowitz.,SW
LAOTIEN,Deng Xiaohua (???) and Wang Shiyuan (???),2009,??????????? (Classification of the languages and dialects of China). Beijing: Zhonghua Shuju (????).,AM
LAPULU_BAJAU,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=631 (accessed October 2009),SS
LARA,"Ray, Sydney H.",1913,The Languages of Borneo. Sarawak Museum Journal 1(4). 1-196.,JB
LARAOS,,,http://www.quechua.org.uk/Eng/Cpv/Andean_Languages_DataBase_by_Paul_Heggarty_Version_1_0.mdb,AKW/AM2
LARESTANI,"Cathcart, Chundra Aroor.",2015,Iranian dialectology and dialectometry. Berkeley: University of California Ph.D. thesis.,TVV
LAREVAT,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LARIKE_WAKASIHU,"Laidig, Wyn D. and Carol J. Laidig",1991,Kamus sou rikedu. Kamus bahasa Larike. Larike dictionary. Dallas: Summer Institute of Linguistics.,
LARRAKIA,"Harvey, Mark",2004,"Larrakia dictionary. ATSIC, Yirra Bandoo Aboriginal Corporation.",
LARTEH,"Huber, Magnus",n.d.,[Data supplied by Magnus Huber.],VV
LARU_NIGERIA,"Blench, Roger",n.d.,"A composite wordlist of Laru with commentary. pdf MS, nd.",VV
LARU_SUDAN,"Schadeberg, Thilo C.",1981,A survey of Kordofanian I: The Heiban Group. Hamburg: Helmut Burske Verlag.,VV
LASALIMU,,,http://language.psy.auckland.ac.nz/austronesian/about.php (accessed February 2008),AM/MD
LASGERDI,"Christensen, Arthur",1930,Contributions à la dialectologie Iranienne 2. København: Adr. Fred. Høst and Søn.,
LASHI,"Mann, Noel Walter",2007,A phonological reconstruction of Proto Northern Burmic. Ann Arbor: UMI.,JB
LASHI_2,??? (Dai Qingsha),2007,?????(?????????)(Leqiyu yanjiu. Zhongyang Minzu Daxue Chubanshe).,AM
LASI,"Grierson, George A.",1919,Indo-Aryan family: North-Western group: Specimens of the Sindhi and Lahnda (Linguistic Survey of India VIII(I)). Calcutta: Office of the Superintendent of Goverment Printing.,TVV
LATE_EGYPTIAN,"Peust, Carsten",2001,Kauderwelsch Band 115: Hieroglyphisch Wort-für-Wort. Bielefeld: Reise Know-How.,
LATEP,"Hooley, Bruce A.",1971,"Austronesian languages of the Morobe district, Papua. Oceanic Linguistics 10(2). 79-151. Honolulu: The University Press of Hawaii.",AKW
LATIN,"Hau, Rita",2001,PONS Schülerwörterbuch Latein-Deutsch/Deutsch-Latein. Stuttgart: Ernst Klett Verlag.,AM
LATIN_2,"Lange-Kowal, Ernst Erwin",1999,"Langenscheidts Universal-Wörterbuch Latein. Berlin und München: Langenscheidt KG. (22nd. ed.).; Pertsch, Erich and Ernst Erwin Lange-Kowal. 1974. Langenscheidts Schulwörterbuch Lateinisch. Berlin und München: Langenscheidt KG. (11th ed.).; http://northeuralex.org/languages/lat (accessed 2020-01-27).",SW
LATVIAN,,,http://en.wiktionary.org/wiki/Transwiki:Latvian_language/Swadesh_list,CB
LATVIAN_2,"Forssman, Berthold",2008,Wörterbuch Lettisch-Deutsch Deutsch-Lettisch. Bremen: Hempen Verlag.; http://northeuralex.org/languages/lav (accessed 2020-01-27).,SW
LATVIAN_ROMANI,"Matras, Yaron et al.",2002,Romlex. A comprehensive Romani lexicon. http://romani.uni-graz.at/romlex/lex.xml accessed 9 January 2008.,VV
LAU,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LAU_NORTH,,,"http://language.psy.auckland.ac.nz/austronesian/language.php?id=588 (accessed November 08, 2012)",SS
LAUA,The Rosetta Project,n.d.,[Data supplied by Timothy Usher.],SW
LAUJE,"Himmelmann, Nikolaus P.",2001,"Sourcebook on Tomini-Tolitoli languages: General information and word lists. Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National Universiy.",ZM
LAUJE_AMPIBABO,"Himmelmann, Nikolaus P.",2001,"Sourcebook on Tomini-Tolitoli languages: General information and word lists. Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National Universiy.",
LAURU_BAJAU,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=624 (accessed October 2009),SS
LAVEH,"Sidwell, Paul and Pascale Jacq",2003,"A handbook of comparative Bahnaric: vol. 1: West Bahnaric (Pacific Linguistics 551). Canberra: Research School of Pacific and Asian Studies, Australian National University.",MSD
LAVUKALEVE,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=519 (accessed Jan 2010),SW/SS
LAWA_LA_UP,"Kokonkitiskun, Jiranan",1985,"Some general characteristics of Lawa grammar (La-Up dialect). M.A. thesis, University of Nakhom Pathom, Nakhon Pathom.",
LAWANGAN,"Hudson, Alfred B.",1967,"The Barito isolects of Borneo: A classification based on comparative reconstructions and lexicostatistics. Ithaca, New York: Southeast Asia Program, Department of Asian Studies, Cornell University.",AM
LAWELE,,,http://language.psy.auckland.ac.nz/austronesian/about.php (accessed February 2008),AM/MD
LAWI,"Sidwell, Paul and Pascale Jacq",2003,"A handbook of comparative Bahnaric: vol. 1: West Bahnaric (Pacific Linguistics 551). Canberra: Research School of Pacific and Asian Studies, Australian National University.",MSD
LAYIPING_HMONG,Deng Xiaohua (???) and Wang Shiyuan (???),2009,??????????? (Classification of the languages and dialects of China). Beijing: Zhonghua Shuju (????).,AM
LAZ,"Klimov, Georgij A. and Madzhid Sh. Khalilov",2003,Slovar' kavkazkix jazykov. Moscow: Vostochnaya Literatura.,AM
LEALAO_CHINANTEC,"Rupp, James and Nadine Rupp",1996,"Diccionario Chinanteco de San Juan Lealao, Oaxaca. Serie de Vocabularios y Diccionarios Indígenas Mariano Silva y Aceves, 35. Tucson: Instituto Lingüístico de Verano, Tucson.",
LEBAA,"Witte, P. de",1955,"Taalstudie bij de Basakata. Annales du Musée Royal du Congo Belge: Série in 8o. Sciences de l'homme, Linguistique. Vol. 10.  Tervuren.",AKW
LEBEI,,,,
LEELAU,"Kleinewillinghöfer, Ulrich.",1996,"Die nordwestlichen Adamawa-Sprachen - Eine Übersicht. In Uwe Seibert (ed.), Afrikanische Sprachen zwischen Gestern und Morgen (Frankfurter Afrikanistische Blätter 8), 80-103. Köln: Rüdiger Köppe.",TVV
LEFA,"Guarisma, Gladys and Christiane Paulian",1986,"Dialectometrie de quelques parlers bantous de la zone A. In Guarisma, Gladys and Wilhelm J. G. Möhlig (eds.), La méthode dialectometrique appliquée aux language africaines, 93-176. Berlin: Dietrich Reimer Verlag.",SW/VV
LEGA,"Botne, Robert and Kisanga Salama-Gray",1994,A Lega and English dictionary with an index to Proto-Bantu roots. Köln: Rüdiger Köppe Verlag.,SW/VV
LEGA_MWENGA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LEGA_SHABUNDA,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LEGA_SHABUNDA_2,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LEGAZPI,"McFarland, Curtis Daniel",1974,"The dialects of the Bikol area. Ph.D. dissertation, Yale University.",AKW
LEGBO,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
LEGGBO,"Udoh, Imelda I.L.",2004,Leggbó lexicon. Port Harcourt: Emhai Publications.,MSD
LEHALI,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEHALURUP,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEHAR,"Pichl, Walter J.",1980,"Lehar. In Kropp Dakubu, M. E. (ed.), West African language data sheets, vol. 2.  Leiden: West African Linguistic Society and African Studies Centre.",VV
LEINONG,"Wayesha, Ahsi James",2010,"A phonological description of Leinong Naga. Chiang Mai: Payap University. MA thesis.; Gwa, Ohn Mar Htun. (2010) A Comparison of Imperfectivity in Leinong Naga, Burmese, and Lisu. Chiang Mai: Payap University MA thesis.",MSD
LEIPON,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LEITRE,"Donohue, Mark",n.d.,[Data supplied by Mark Donohue.],MD/VV
LEITRE_2,"Dryer, Matthew S.",2019,"Field notes in personal communication (2020), collected from a native speaker 28 June 2019.",MSD
LEKE,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LEKO,"Kerke, Simon van de",n.d.,[Fieldwork data obtained via Pieter Muysken and Harald Hammerström.],
LELA,"Blench, Roger",n.d.,The West Kainji Languages of Northwestern Kigeria: Comparative Wordlist . Accessed 11 March 2008.,VV
LELAK,"Ray, Sidney H.",1913,The Languages of Borneo. Sarawak Museum Journal 1(4). 1-196.,JB
LELAU,"Othaniel, Nlabephee Kefas",2017,A phonological comparative study of the Jen language cluster. Jos: Theological College of Northern Nigeria MA thesis.,MSD
LELE,"Schnee, Heinrich",1901,Beitrag zur Kenntniss der Sprachen im Bismarck-Archipel. Mittheilungen des Seminars für Orientalische Sprachen 4. 229-279.,JB
LELE_CHAD,"Weibegue?, Christophe and Pierre Palayer",1982,"Lexique Lele-français. Sarh: Centre d'Etudes Linguistiques, Colle?ge Charles Lwanga.",TVV
LELE_GUINEA,"Vydrin, Valentin",2009,On the problem of the Proto-Mande homeland. Journal of Language Relationship 1. 107-142.,DE
LELEGHIA_MARINGE_CHEKE_HOLO,,,"http://language.psy.auckland.ac.nz/austronesian/language.php?id=574 (accessed Nov 8, 2012)",SS
LELEPA,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEMBENA,"Davies, John and Bernard Comrie",1985,"A linguistic survey of the Upper Yuat. In Papers in New Guinea Linguistics 22 (Pacific Linguistics: Series A 63), 275-312. Canberra: Research School of Pacific and Asian Studies, Australian National University.",JB
LEMERIG,,,"http://language.psy.auckland.ac.nz/austronesian/language.php?id=696 (accessed 04 Dec, 2010)",SS
LEMIO,"Z'graggen, Johannes A.",1980,"A comparative word list of the Rai Coast languages, Madang Province, Papua New Guinea. Pacific Linguistics D-30. Canberra: Australian National University.",CB
LEMO_BAJAU,,,http://language.psy.auckland.ac.nz/austronesian/language.php?id=634 (accessed October 2009),SS
LEMOLANG,"Grimes, Charles E. and Barbara D. Grimes",1987,Languages of South Sulawesi. Canberra: The Australian National University.,JB
LEMORO,"Shimizu, Kiyoshi.",1975,"The languages of Jos division (Linguistic Survey of Plateau State: Part I). Kano: Center for the Study of Nigerian Languages, Ahmadu Bello University.",TVV
LEMPINI,"Van der Veen, Lolke",2011,Projet ALGAB (Atlas Linguistique du Gabon). RefLex.,SW/GS
LENAKEL_LENAUKAS,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LENAKEL_LONASILIAN,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LENCA_EL_SALVADOR,"Lehmann, Walter",1920,Zentral-Amerika. Berlin: Verlag Dietrich Reimer (Ernst Vohsen).,CB
LENCA_HONDURAS,"Lehmann, Walter",1920,Zentral-Amerika. Berlin: Verlag Dietrich Reimer (Ernst Vohsen).,CB
LENDU,"Tucker, A. N.",1967,The Eastern Sudanic languages I. London: International African Institute.,VV
LENDU_2,"Dhejju, L.",1978,Documents sur la langue lendu (dialect tadha). Université Paris-Sorbonne (Paris 4).,SW/GS
LENDU_DDRADHA,"Kutsch Lojenga, Constance",1994,Ngiti: A Central-Sudanic language of Zaire. Köln: Koppe.,
LENDU_DJADHA,"Kutsch Lojenga, Constance",1994,Ngiti: A Central-Sudanic language of Zaire. Köln: Koppe.,
LENDU_NJAWDHA,"Kutsch Lojenga, Constance",1994,Ngiti: A Central-Sudanic language of Zaire. Köln: Koppe.,
LENDU_PIDHA,"Kutsch Lojenga, Constance",1994,Ngiti: A Central-Sudanic language of Zaire. Köln: Koppe.,
LENDU_TADHA,"Kutsch Lojenga, Constance",1994,Ngiti: A Central-Sudanic language of Zaire. Köln: Koppe.,
LENGO,"Todd, Evelyn M.",1980,"Qae (Solomon Islands) and its linguistic context. In: Naylor, P. B. (ed.), Austronesian studies: papers from the Second Eastern Conference on Austronesian Languages , number 15 in Michigan Papers on South and Southeast Asia, pages 227-240. Center for South and Southeast Asian Studies, The University of Michigan, Ann Arbor, MI; Paul Unger, p.c. 2017-11-27.",SS
LENGO_2,,,"http://language.psy.auckland.ac.nz/austronesian/language.php?id=520 (accessed Jan 09, 2010)",SS
LENGOLA,"Stuhlmann, Franz",1916-1917,Wortlisten zentralafrikanscher Stämme. Zeitschrift für Kolonialsprachen 7. 257-308.,JB
LENGOLA_2,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LENGUA,"Coryn, Alfredo",1922,"Los Indios lenguas: Sus costumbres y su idioma. Anales de la sociedad científica Argentina 93. 221-282.;  Lowes, R. H. G. 1954. Alphabetical list of lengua Indian words with English equivalents (Paraguayan Chaco). Journal de la Société des Américanistes de Paris 43. 86-107.",CB
LENGUA_2,"Richards, Elizabeth and Timothy Curtis",2015,"Lengua dictionary. In: Key, Mary Ritchie and Comrie, Bernard (eds.), The Intercontinental Dictionary Series. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://ids.clld.org/contributions/300.)",AM
LENINGITIJ,"Hale, Kenneth L.",1997,"A Linngithigh vocabulary. In: Tryon, Darrell and Michael Walsh (eds.), Boundary Rider: essays in honor of Geoffrey O'Grady, 209-246. Canberra: Research School of Pacific and Asian Studies, Australian National University.",JB
LENJE,,,http://www.africamuseum.be/research/human-sciences/linguistics/lexico-1?set_language=deandcl=de (accessed March 2008),AKW
LENYIMA,"Blench, Roger M.",2014,The Upper Cross languages: a comparative study. Manuscript in preparation.,TVV
LENYIMA_2,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
LEPCHA,,,,AM
LEPKI,"Donohue, Mark",n.d.,[Data supplied by Mark Donohue.],SS/MD/MSD
LERE_GANA,"Shimizu, Kiyoshi",1982,Ten more wordlists with analyses from the Northern Jos group of Plateau languages.  Afrika und Übersee 65. 97-134.,JB
LERE_SI,"Shimizu, Kiyoshi",1982,Ten more wordlists with analyses from the Northern Jos group of Plateau languages.  Afrika und Übersee 65. 97-134.,JB
LERE_TAKAYA,"Shimizu, Kiyoshi",1982,Ten more wordlists with analyses from the Northern Jos group of Plateau languages.  Afrika und Übersee 65. 97-134.,JB
LETEMBOI,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LETINESE,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LEVEI,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LEWA_KAMBERA,,,[http://language.psy.auckland.ac.nz/austronesian/ (accessed September 2007).],AM
LEWO_FILAKARA,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEWO_MAPREMO,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEWO_MATE,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEWO_NIKAURA,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEWO_NUL,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEWO_NUVI,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEWO_VISINA,"Tryon, Darrell T.",1979,"New Hebrides Languages: An Internal Classification. Canberra: Research School of Pacific Studies, Australian National University.",AM
LEYIGHA,"Blench, Roger M.",2014,The Upper Cross languages: a comparative study. Manuscript in preparation.,TVV
LEYIGHA_2,"Dimmendaal, Gerrit Jan",1978,"The consonants of proto-Upper Cross and their implications for the classification of the Upper Cross languages. Department of African Languages, State University of Leiden.",SW/GS
LEZGI,"Klimov, Georgij A. and Madzhid Sh. Khalilov",2003,Slovar' kavkazkix jazykov. Moscow: Vostochnaya Literatura.,AM
LEZGIAN,"???????, ??????? ?.",1950,"??????-?????????? ???????. ?????????: ???????????? ?????? ???????? ???? ????.; ???????, ????? ?. and ??????? ?. ???????. 1966. ?????????-??????? ???????. ????????? ????????????.; http://northeuralex.org/languages/lez (accessed 2020-01-27).",SW
LHASA_TIBETAN,Deng Xiaohua (???) and Wang Shiyuan (???),2009,??????????? (Classification of the languages and dialects of China). Beijing: Zhonghua Shuju (????).,AM
LHOMI,"Vesalainen, Olavi.",2014,A grammar sketch of Lhomi. Manuscript in preparation.,TVV
LHUKONZO,"Kambale, Rev. Fr. Balinandi",2006,Lhukonzo-English - English-Lhukonzo dictionary. Kampala: Fountain Publishers.,AKW
LI_BAODING,"Peiros, Ilia",1998,Comparative Linguistics in Southeast Asia. Pacific Linguistics C-142. Canberra: Australian National University.,CB
LI_TONGSHI,"Peiros, Ilia",1998,Comparative Linguistics in Southeast Asia. Pacific Linguistics C-142. Canberra: Australian National University.,CB
LIABUKA,,,http://language.psy.auckland.ac.nz/austronesian/about.php (accessed February 2008),AM/MD
LIANHUA_SHE,,,"http://language.psy.auckland.ac.nz/austronesian/language.php?id=762 (accessed Feb 26, 2011)",SS
LIANSHAN_CENTRAL_HONGSHUIHE_ZHUANG,,,"http://language.psy.auckland.ac.nz/austronesian/language.php?id=840 (accessed February 6, 2012)",SS
LIBERIAN_KPELLE,"Kastenholz, Raimund",1996,Sprachgeschichte im West-Mande. Köln: Rüdiger Köppe Verlag.,AM
LIBIDO,"Bender, M. Lionel",1971,The languages of Ethiopia: A new lexicostatistic classification and some problems of diffusion. Anthropological Linguistics 13. 165-288.,AM
LIBIE,"Paulian, Christiane",1986,"Les parlers Yamabasa du Cameroun (Bantou A62). In Guarisma, Gladys and Wilhelm J. G. Möhlig (eds.), La methode dialectometrique appliquée aux langues africaines, 243-279. Berlin: Dietrich Reimer Verlag.",SW/VV
LIBINZA,"Mangulu, Motingea",1996,Etude comparative des langues ngiri de l'entre Ubangi-Zaire. Leiden: Research School CNWS.,AKW
LIBINZA_2,"Motingea Mangulu, André",1996,"Étude comparative des langues ngiri de l’entre Ubangi-Zaire. Leiden: Research School of Asian, African and Amerindian Studies (CNWS), State University of Leiden.",SW/GS
LIBINZA_3,"Donzo Bunza, Jean-Pierre",2015,"Langues bantoues de l’entre Congo-Ubangi (RD Congo): Documentation, reconstruction, classification et contacts avec les langues oubanguiennes. Bruxelles - Gent: Université Libre de Bruxelles - Faculty of  Arts and Philosophy.",SW/GS
LIBOBI,"Mangulu, Motingea",1996,Etude comparative des langues ngiri de l'entre Ubangi-Zaire. Leiden: Research School CNWS.,AKW
LIBOBI_2,"Motingea Mangulu, André",1996,"Étude comparative des langues ngiri de l’entre Ubangi-Zaire. Leiden: Research School of Asian, African and Amerindian Studies (CNWS), State University of Leiden.",SW/GS
